problem,granularity,scope,feature,classifier,parameters,val_acc,val_prec,val_rec,val_gmean,val_f1,val_mcc,train_time,val_time,test_acc,test_prec,test_rec,test_gmean,test_f1,test_mcc,test_time
cvss2_AU,method,whole,subwords,lgbm,100-100,0.991,0.747,0.624,0.682,0.664,0.35,13.852,0.012,0.984,0.992,0.65,0.803,0.727,0.543,0.008
cvss2_AU,method,whole,subwords,lgbm,100-200,0.991,0.747,0.624,0.682,0.664,0.35,15.86,0.018,0.984,0.992,0.65,0.803,0.727,0.543,0.008
cvss2_AU,method,whole,subwords,lgbm,100-300,0.991,0.747,0.624,0.682,0.664,0.35,15.374,0.012,0.984,0.992,0.65,0.803,0.727,0.543,0.008
cvss2_AU,method,whole,subwords,lgbm,200-100,0.991,0.747,0.624,0.682,0.664,0.35,15.815,0.013,0.984,0.992,0.65,0.803,0.727,0.543,0.006
cvss2_AU,method,whole,subwords,lgbm,200-200,0.991,0.747,0.624,0.682,0.664,0.35,17.506,0.013,0.984,0.992,0.65,0.803,0.727,0.543,0.008
cvss2_AU,method,whole,subwords,lgbm,200-300,0.991,0.747,0.624,0.682,0.664,0.35,16.401,0.01,0.984,0.992,0.65,0.803,0.727,0.543,0.008
cvss2_AU,method,whole,subwords,lgbm,300-100,0.991,0.747,0.624,0.682,0.664,0.35,16.971,0.013,0.984,0.992,0.65,0.803,0.727,0.543,0.009
cvss2_AU,method,whole,subwords,lgbm,300-200,0.991,0.747,0.624,0.682,0.664,0.35,18.498,0.01,0.984,0.992,0.65,0.803,0.727,0.543,0.008
cvss2_AU,method,whole,subwords,lgbm,300-300,0.991,0.747,0.624,0.682,0.664,0.35,18.632,0.01,0.984,0.992,0.65,0.803,0.727,0.543,0.007
cvss2_AU,method,whole,subwords,lgbm,400-100,0.991,0.747,0.624,0.682,0.664,0.35,16.927,0.01,0.984,0.992,0.65,0.803,0.727,0.543,0.008
cvss2_AU,method,whole,subwords,lgbm,400-200,0.991,0.747,0.624,0.682,0.664,0.35,19.398,0.01,0.984,0.992,0.65,0.803,0.727,0.543,0.008
cvss2_AU,method,whole,subwords,lgbm,400-300,0.991,0.747,0.624,0.682,0.664,0.35,18.425,0.01,0.984,0.992,0.65,0.803,0.727,0.543,0.007
cvss2_AU,method,whole,subwords,lgbm,500-100,0.991,0.747,0.624,0.682,0.664,0.35,18.72,0.015,0.984,0.992,0.65,0.803,0.727,0.543,0.01
cvss2_AU,method,whole,subwords,lgbm,500-200,0.991,0.747,0.624,0.682,0.664,0.35,22.725,0.011,0.984,0.992,0.65,0.803,0.727,0.543,0.008
cvss2_AU,method,whole,subwords,lgbm,500-300,0.991,0.747,0.624,0.682,0.664,0.35,18.289,0.01,0.984,0.992,0.65,0.803,0.727,0.543,0.007
cvss2_AU,method,whole,subwords,rf,100-100,0.991,0.747,0.624,0.682,0.664,0.35,0.319,0.11,0.987,0.993,0.7,0.834,0.782,0.628,0.11
cvss2_AU,method,whole,subwords,rf,100-200,0.991,0.747,0.624,0.682,0.664,0.35,0.34,0.112,0.987,0.993,0.7,0.834,0.782,0.628,0.113
cvss2_AU,method,whole,subwords,rf,100-300,0.991,0.747,0.624,0.682,0.664,0.35,0.357,0.11,0.987,0.993,0.7,0.834,0.782,0.628,0.113
cvss2_AU,method,whole,subwords,rf,200-100,0.991,0.747,0.624,0.682,0.664,0.35,0.572,0.108,0.987,0.993,0.7,0.834,0.782,0.628,0.108
cvss2_AU,method,whole,subwords,rf,200-200,0.991,0.747,0.624,0.682,0.664,0.35,0.54,0.109,0.987,0.993,0.7,0.834,0.782,0.628,0.113
cvss2_AU,method,whole,subwords,rf,200-300,0.991,0.747,0.624,0.682,0.664,0.35,0.556,0.109,0.987,0.993,0.7,0.834,0.782,0.628,0.111
cvss2_AU,method,whole,subwords,rf,300-100,0.991,0.747,0.624,0.682,0.664,0.35,0.667,0.111,0.987,0.993,0.7,0.834,0.782,0.628,0.11
cvss2_AU,method,whole,subwords,rf,300-200,0.991,0.747,0.624,0.682,0.664,0.35,0.663,0.111,0.987,0.993,0.7,0.834,0.782,0.628,0.11
cvss2_AU,method,whole,subwords,rf,300-300,0.991,0.747,0.624,0.682,0.664,0.35,0.669,0.11,0.987,0.993,0.7,0.834,0.782,0.628,0.11
cvss2_AU,method,whole,subwords,rf,400-100,0.991,0.747,0.624,0.682,0.664,0.35,0.901,0.213,0.987,0.993,0.7,0.834,0.782,0.628,0.209
cvss2_AU,method,whole,subwords,rf,400-200,0.991,0.747,0.624,0.682,0.664,0.35,0.896,0.214,0.987,0.993,0.7,0.834,0.782,0.628,0.213
cvss2_AU,method,whole,subwords,rf,400-300,0.991,0.747,0.624,0.682,0.664,0.35,0.902,0.211,0.987,0.993,0.7,0.834,0.782,0.628,0.212
cvss2_AU,method,whole,subwords,rf,500-100,0.991,0.747,0.624,0.682,0.664,0.35,1.045,0.211,0.987,0.993,0.7,0.834,0.782,0.628,0.214
cvss2_AU,method,whole,subwords,rf,500-200,0.991,0.747,0.624,0.682,0.664,0.35,1.156,0.211,0.987,0.993,0.7,0.834,0.782,0.628,0.213
cvss2_AU,method,whole,subwords,rf,500-300,0.991,0.747,0.624,0.682,0.664,0.35,1.123,0.213,0.987,0.993,0.7,0.834,0.782,0.628,0.212
