problem,granularity,scope,feature,classifier,parameters,val_acc,val_prec,val_rec,val_gmean,val_f1,val_mcc,train_time,val_time,test_acc,test_prec,test_rec,test_gmean,test_f1,test_mcc,test_time
cvss2_AV,method,whole,subwords,lgbm,100-100,0.966,0.629,0.65,0.639,0.639,0.901,39.416,0.014,0.933,0.776,0.652,0.711,0.664,0.834,0.009
cvss2_AV,method,whole,subwords,lgbm,100-200,0.966,0.629,0.65,0.639,0.639,0.901,55.672,0.018,0.935,0.834,0.679,0.753,0.706,0.84,0.017
cvss2_AV,method,whole,subwords,lgbm,100-300,0.966,0.629,0.65,0.639,0.639,0.901,54.234,0.012,0.935,0.834,0.679,0.753,0.706,0.84,0.009
cvss2_AV,method,whole,subwords,lgbm,200-100,0.969,0.631,0.653,0.642,0.642,0.908,45.326,0.017,0.942,0.866,0.711,0.785,0.747,0.857,0.011
cvss2_AV,method,whole,subwords,lgbm,200-200,0.969,0.631,0.653,0.642,0.642,0.908,63.564,0.016,0.94,0.864,0.71,0.783,0.745,0.852,0.013
cvss2_AV,method,whole,subwords,lgbm,200-300,0.969,0.631,0.653,0.642,0.642,0.908,63.077,0.016,0.94,0.864,0.71,0.783,0.745,0.852,0.01
cvss2_AV,method,whole,subwords,lgbm,300-100,0.969,0.631,0.653,0.642,0.642,0.908,55.167,0.016,0.942,0.866,0.711,0.785,0.747,0.857,0.013
cvss2_AV,method,whole,subwords,lgbm,300-200,0.969,0.631,0.653,0.642,0.642,0.908,67.668,0.015,0.94,0.864,0.71,0.783,0.745,0.852,0.01
cvss2_AV,method,whole,subwords,lgbm,300-300,0.969,0.631,0.653,0.642,0.642,0.908,67.627,0.015,0.94,0.864,0.71,0.783,0.745,0.852,0.01
cvss2_AV,method,whole,subwords,lgbm,400-100,0.969,0.631,0.653,0.642,0.642,0.908,53.009,0.014,0.942,0.866,0.711,0.785,0.747,0.857,0.01
cvss2_AV,method,whole,subwords,lgbm,400-200,0.969,0.631,0.653,0.642,0.642,0.908,67.633,0.016,0.94,0.864,0.71,0.783,0.745,0.852,0.012
cvss2_AV,method,whole,subwords,lgbm,400-300,0.969,0.631,0.653,0.642,0.642,0.908,74.075,0.018,0.94,0.864,0.71,0.783,0.745,0.852,0.013
cvss2_AV,method,whole,subwords,lgbm,500-100,0.969,0.631,0.653,0.642,0.642,0.908,63.005,0.015,0.942,0.866,0.711,0.785,0.747,0.857,0.012
cvss2_AV,method,whole,subwords,lgbm,500-200,0.969,0.631,0.653,0.642,0.642,0.908,71.07,0.019,0.94,0.864,0.71,0.783,0.745,0.852,0.013
cvss2_AV,method,whole,subwords,lgbm,500-300,0.969,0.631,0.653,0.642,0.642,0.908,79.436,0.016,0.94,0.864,0.71,0.783,0.745,0.852,0.011
cvss2_AV,method,whole,subwords,rf,100-100,0.962,0.627,0.642,0.635,0.634,0.887,0.448,0.11,0.913,0.923,0.632,0.764,0.648,0.784,0.113
cvss2_AV,method,whole,subwords,rf,100-200,0.966,0.631,0.647,0.639,0.639,0.9,0.457,0.111,0.928,0.771,0.646,0.706,0.659,0.823,0.111
cvss2_AV,method,whole,subwords,rf,100-300,0.966,0.629,0.65,0.639,0.639,0.901,0.545,0.112,0.928,0.771,0.646,0.706,0.659,0.823,0.114
cvss2_AV,method,whole,subwords,rf,200-100,0.969,0.635,0.648,0.641,0.641,0.907,0.647,0.109,0.919,0.93,0.639,0.771,0.655,0.8,0.109
cvss2_AV,method,whole,subwords,rf,200-200,0.969,0.633,0.651,0.642,0.641,0.907,0.67,0.109,0.931,0.774,0.649,0.709,0.662,0.828,0.109
cvss2_AV,method,whole,subwords,rf,200-300,0.969,0.631,0.653,0.642,0.642,0.908,0.757,0.11,0.933,0.776,0.652,0.711,0.664,0.834,0.113
cvss2_AV,method,whole,subwords,rf,300-100,0.962,0.625,0.645,0.635,0.635,0.888,0.917,0.208,0.922,0.931,0.642,0.773,0.657,0.806,0.114
cvss2_AV,method,whole,subwords,rf,300-200,0.964,0.626,0.649,0.637,0.637,0.895,1.013,0.108,0.931,0.773,0.65,0.709,0.662,0.829,0.109
cvss2_AV,method,whole,subwords,rf,300-300,0.964,0.626,0.649,0.637,0.637,0.895,1.099,0.109,0.931,0.773,0.65,0.709,0.662,0.829,0.109
cvss2_AV,method,whole,subwords,rf,400-100,0.962,0.625,0.645,0.635,0.635,0.888,1.121,0.209,0.919,0.93,0.639,0.771,0.655,0.8,0.214
cvss2_AV,method,whole,subwords,rf,400-200,0.964,0.626,0.649,0.637,0.637,0.895,1.318,0.212,0.931,0.773,0.65,0.709,0.662,0.829,0.213
cvss2_AV,method,whole,subwords,rf,400-300,0.964,0.626,0.649,0.637,0.637,0.895,1.395,0.211,0.931,0.773,0.65,0.709,0.662,0.829,0.211
cvss2_AV,method,whole,subwords,rf,500-100,0.962,0.625,0.645,0.635,0.635,0.888,1.232,0.211,0.919,0.93,0.639,0.771,0.655,0.8,0.215
cvss2_AV,method,whole,subwords,rf,500-200,0.966,0.629,0.65,0.639,0.639,0.901,1.529,0.217,0.931,0.773,0.65,0.709,0.662,0.829,0.209
cvss2_AV,method,whole,subwords,rf,500-300,0.966,0.629,0.65,0.639,0.639,0.901,1.616,0.212,0.931,0.773,0.65,0.709,0.662,0.829,0.212
