problem,granularity,scope,feature,classifier,parameters,val_acc,val_prec,val_rec,val_gmean,val_f1,val_mcc,train_time,val_time,test_acc,test_prec,test_rec,test_gmean,test_f1,test_mcc,test_time
cvss2_A,method,whole,subwords,lgbm,100-100,0.864,0.877,0.801,0.838,0.823,0.776,38.302,0.014,0.83,0.844,0.754,0.798,0.774,0.727,0.009
cvss2_A,method,whole,subwords,lgbm,100-200,0.868,0.877,0.808,0.842,0.83,0.783,47.029,0.013,0.83,0.857,0.752,0.803,0.773,0.727,0.009
cvss2_A,method,whole,subwords,lgbm,100-300,0.868,0.877,0.808,0.842,0.83,0.783,46.671,0.014,0.83,0.857,0.752,0.803,0.773,0.727,0.009
cvss2_A,method,whole,subwords,lgbm,200-100,0.859,0.875,0.797,0.835,0.82,0.769,60.697,0.013,0.834,0.86,0.755,0.806,0.776,0.735,0.01
cvss2_A,method,whole,subwords,lgbm,200-200,0.861,0.868,0.8,0.833,0.822,0.772,72.246,0.016,0.83,0.857,0.752,0.803,0.773,0.727,0.01
cvss2_A,method,whole,subwords,lgbm,200-300,0.861,0.868,0.8,0.833,0.822,0.772,78.232,0.014,0.83,0.857,0.752,0.803,0.773,0.727,0.011
cvss2_A,method,whole,subwords,lgbm,300-100,0.859,0.875,0.797,0.835,0.82,0.769,72.13,0.016,0.834,0.86,0.753,0.805,0.774,0.735,0.013
cvss2_A,method,whole,subwords,lgbm,300-200,0.864,0.87,0.805,0.836,0.826,0.776,88.938,0.02,0.828,0.855,0.748,0.8,0.768,0.724,0.014
cvss2_A,method,whole,subwords,lgbm,300-300,0.864,0.87,0.805,0.836,0.826,0.776,86.75,0.018,0.828,0.855,0.748,0.8,0.768,0.724,0.013
cvss2_A,method,whole,subwords,lgbm,400-100,0.857,0.872,0.794,0.832,0.817,0.765,87.125,0.017,0.834,0.861,0.753,0.805,0.774,0.735,0.014
cvss2_A,method,whole,subwords,lgbm,400-200,0.861,0.867,0.8,0.833,0.821,0.772,98.488,0.02,0.826,0.854,0.745,0.798,0.767,0.72,0.014
cvss2_A,method,whole,subwords,lgbm,400-300,0.861,0.867,0.8,0.833,0.821,0.772,98.599,0.019,0.826,0.854,0.745,0.798,0.767,0.72,0.012
cvss2_A,method,whole,subwords,lgbm,500-100,0.857,0.872,0.794,0.832,0.817,0.765,84.018,0.021,0.834,0.86,0.753,0.805,0.773,0.735,0.013
cvss2_A,method,whole,subwords,lgbm,500-200,0.861,0.867,0.8,0.833,0.821,0.772,96.125,0.02,0.826,0.853,0.745,0.798,0.766,0.72,0.015
cvss2_A,method,whole,subwords,lgbm,500-300,0.861,0.867,0.8,0.833,0.821,0.772,92.957,0.02,0.826,0.853,0.745,0.798,0.766,0.72,0.013
cvss2_A,method,whole,subwords,rf,100-100,0.785,0.838,0.692,0.762,0.719,0.646,0.423,0.117,0.77,0.831,0.661,0.741,0.668,0.63,0.112
cvss2_A,method,whole,subwords,rf,100-200,0.81,0.848,0.722,0.783,0.748,0.688,0.552,0.111,0.783,0.84,0.683,0.757,0.695,0.652,0.11
cvss2_A,method,whole,subwords,rf,100-300,0.817,0.851,0.729,0.788,0.754,0.699,0.65,0.109,0.805,0.845,0.708,0.774,0.724,0.689,0.108
cvss2_A,method,whole,subwords,rf,200-100,0.785,0.837,0.69,0.76,0.715,0.646,0.663,0.11,0.77,0.83,0.662,0.741,0.668,0.63,0.111
cvss2_A,method,whole,subwords,rf,200-200,0.803,0.841,0.715,0.775,0.739,0.676,0.853,0.11,0.787,0.831,0.684,0.754,0.694,0.659,0.109
cvss2_A,method,whole,subwords,rf,200-300,0.817,0.842,0.729,0.784,0.753,0.698,1.072,0.11,0.801,0.842,0.702,0.769,0.717,0.682,0.111
cvss2_A,method,whole,subwords,rf,300-100,0.787,0.839,0.692,0.762,0.717,0.65,0.882,0.111,0.772,0.831,0.664,0.743,0.67,0.634,0.111
cvss2_A,method,whole,subwords,rf,300-200,0.808,0.844,0.718,0.779,0.743,0.683,1.232,0.111,0.783,0.827,0.678,0.749,0.687,0.652,0.109
cvss2_A,method,whole,subwords,rf,300-300,0.812,0.839,0.723,0.779,0.746,0.691,1.3,0.108,0.803,0.844,0.707,0.772,0.722,0.685,0.109
cvss2_A,method,whole,subwords,rf,400-100,0.787,0.838,0.693,0.762,0.717,0.649,1.211,0.21,0.77,0.83,0.662,0.741,0.668,0.63,0.212
cvss2_A,method,whole,subwords,rf,400-200,0.805,0.842,0.717,0.777,0.741,0.679,1.433,0.214,0.787,0.831,0.684,0.754,0.694,0.659,0.211
cvss2_A,method,whole,subwords,rf,400-300,0.812,0.846,0.723,0.782,0.747,0.691,1.91,0.217,0.801,0.842,0.705,0.77,0.72,0.681,0.213
cvss2_A,method,whole,subwords,rf,500-100,0.787,0.838,0.693,0.762,0.717,0.649,1.334,0.208,0.772,0.831,0.664,0.743,0.67,0.634,0.209
cvss2_A,method,whole,subwords,rf,500-200,0.808,0.852,0.72,0.783,0.747,0.683,1.753,0.211,0.787,0.831,0.684,0.754,0.694,0.659,0.214
cvss2_A,method,whole,subwords,rf,500-300,0.812,0.839,0.723,0.779,0.746,0.691,2.222,0.215,0.801,0.842,0.705,0.77,0.72,0.681,0.21
