problem,granularity,scope,feature,classifier,parameters,val_acc,val_prec,val_rec,val_gmean,val_f1,val_mcc,train_time,val_time,test_acc,test_prec,test_rec,test_gmean,test_f1,test_mcc,test_time
cvss2_I,method,whole,subwords,lgbm,100-100,0.839,0.85,0.818,0.833,0.83,0.741,43.142,0.016,0.81,0.814,0.792,0.803,0.801,0.704,0.009
cvss2_I,method,whole,subwords,lgbm,100-200,0.834,0.831,0.809,0.82,0.818,0.733,59.315,0.016,0.814,0.819,0.795,0.807,0.804,0.711,0.012
cvss2_I,method,whole,subwords,lgbm,100-300,0.834,0.831,0.809,0.82,0.818,0.733,50.038,0.013,0.814,0.819,0.795,0.807,0.804,0.711,0.009
cvss2_I,method,whole,subwords,lgbm,200-100,0.855,0.861,0.833,0.847,0.844,0.766,73.26,0.018,0.819,0.825,0.8,0.812,0.809,0.718,0.012
cvss2_I,method,whole,subwords,lgbm,200-200,0.837,0.837,0.81,0.824,0.821,0.737,80.74,0.017,0.828,0.832,0.808,0.82,0.817,0.732,0.012
cvss2_I,method,whole,subwords,lgbm,200-300,0.837,0.837,0.81,0.824,0.821,0.737,76.903,0.016,0.828,0.832,0.808,0.82,0.817,0.732,0.011
cvss2_I,method,whole,subwords,lgbm,300-100,0.855,0.855,0.836,0.846,0.844,0.767,78.877,0.02,0.814,0.819,0.796,0.807,0.805,0.711,0.012
cvss2_I,method,whole,subwords,lgbm,300-200,0.837,0.833,0.809,0.821,0.819,0.737,91.702,0.019,0.828,0.836,0.808,0.822,0.818,0.732,0.014
cvss2_I,method,whole,subwords,lgbm,300-300,0.837,0.833,0.809,0.821,0.819,0.737,95.648,0.018,0.828,0.836,0.808,0.822,0.818,0.732,0.011
cvss2_I,method,whole,subwords,lgbm,400-100,0.857,0.858,0.839,0.849,0.847,0.77,90.98,0.02,0.819,0.829,0.8,0.814,0.81,0.718,0.013
cvss2_I,method,whole,subwords,lgbm,400-200,0.837,0.831,0.809,0.82,0.818,0.737,98.136,0.017,0.828,0.838,0.807,0.822,0.818,0.732,0.014
cvss2_I,method,whole,subwords,lgbm,400-300,0.837,0.831,0.809,0.82,0.818,0.737,98.932,0.019,0.828,0.838,0.807,0.822,0.818,0.732,0.012
cvss2_I,method,whole,subwords,lgbm,500-100,0.857,0.858,0.839,0.849,0.847,0.77,98.125,0.02,0.821,0.833,0.8,0.817,0.812,0.722,0.016
cvss2_I,method,whole,subwords,lgbm,500-200,0.839,0.835,0.811,0.823,0.821,0.74,98.984,0.02,0.826,0.836,0.805,0.82,0.816,0.729,0.013
cvss2_I,method,whole,subwords,lgbm,500-300,0.839,0.835,0.811,0.823,0.821,0.74,102.084,0.019,0.826,0.836,0.805,0.82,0.816,0.729,0.014
cvss2_I,method,whole,subwords,rf,100-100,0.774,0.815,0.71,0.761,0.732,0.634,0.468,0.112,0.747,0.811,0.697,0.752,0.713,0.609,0.11
cvss2_I,method,whole,subwords,rf,100-200,0.787,0.82,0.733,0.775,0.754,0.656,0.588,0.109,0.752,0.807,0.706,0.755,0.723,0.615,0.11
cvss2_I,method,whole,subwords,rf,100-300,0.803,0.824,0.755,0.789,0.775,0.681,0.63,0.109,0.772,0.811,0.732,0.771,0.749,0.646,0.112
cvss2_I,method,whole,subwords,rf,200-100,0.763,0.807,0.695,0.749,0.716,0.615,0.683,0.11,0.749,0.813,0.698,0.754,0.713,0.613,0.111
cvss2_I,method,whole,subwords,rf,200-200,0.774,0.803,0.717,0.759,0.739,0.633,0.857,0.113,0.763,0.81,0.717,0.762,0.732,0.633,0.11
cvss2_I,method,whole,subwords,rf,200-300,0.794,0.816,0.744,0.779,0.765,0.667,1.07,0.128,0.776,0.82,0.731,0.774,0.747,0.654,0.109
cvss2_I,method,whole,subwords,rf,300-100,0.765,0.815,0.697,0.754,0.718,0.619,1.012,0.111,0.758,0.82,0.709,0.762,0.724,0.627,0.11
cvss2_I,method,whole,subwords,rf,300-200,0.779,0.802,0.72,0.76,0.74,0.641,1.191,0.112,0.761,0.809,0.713,0.76,0.729,0.63,0.109
cvss2_I,method,whole,subwords,rf,300-300,0.796,0.818,0.744,0.78,0.765,0.67,1.396,0.117,0.779,0.822,0.735,0.777,0.751,0.658,0.112
cvss2_I,method,whole,subwords,rf,400-100,0.767,0.816,0.7,0.756,0.722,0.623,1.131,0.211,0.758,0.82,0.709,0.762,0.724,0.627,0.209
cvss2_I,method,whole,subwords,rf,400-200,0.776,0.81,0.718,0.763,0.74,0.637,1.532,0.21,0.758,0.807,0.713,0.759,0.729,0.626,0.213
cvss2_I,method,whole,subwords,rf,400-300,0.794,0.815,0.743,0.779,0.764,0.667,1.819,0.209,0.787,0.828,0.747,0.787,0.764,0.672,0.214
cvss2_I,method,whole,subwords,rf,500-100,0.763,0.813,0.695,0.752,0.716,0.616,1.432,0.216,0.758,0.82,0.709,0.762,0.724,0.627,0.212
cvss2_I,method,whole,subwords,rf,500-200,0.779,0.812,0.722,0.766,0.744,0.641,1.838,0.211,0.763,0.811,0.717,0.762,0.733,0.633,0.212
cvss2_I,method,whole,subwords,rf,500-300,0.792,0.817,0.74,0.778,0.76,0.663,2.243,0.21,0.783,0.825,0.74,0.782,0.757,0.665,0.213
